,code,state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,0,Afghanistan,,,,,18.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.45,,,,,,,,,,37.27
1,1,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,67.41,,,,,,,,,,,,,66.03,,,,,,,
2,2,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71,,,,,,,95.94,,,96.85,97.25,,,,,,98.14,,,
3,3,United Arab Emirates,53.51,,,,,,,,,,71.24,,,,,,,,,,,,,,,,,,,,90.03,,,,,,,,,,,,,,97.56,,
4,4,Argentina,,,,,,93.91,,,,,,,,,,,96.04,,,,,,,,,,97.19,,,,,98.61,,,98.98,98.95,99.11,99.11,99.12,98.99,99.18,99.13,,99.0,,,
5,5,Armenia,,,,,,,,,,,,,,,98.75,,,,,,,,,,,,99.4,,,,,,,,,,99.74,,,,,,99.74,,,99.79,
6,6,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,French Southern and Antarctic Lands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,98.79,,,,,,,,99.59,,99.76,99.77,99.78,99.78,99.79,99.79,99.79,99.79,99.79,,99.8,,
11,11,Burundi,,,,,22.51,,,,,,,,,,,37.38,,,,,,,,,,59.3,,,,,,,,48.08,,,,,,61.51,,,68.38,,,,
12,12,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Benin,,,,,16.48,,,,,,,,,,,,,27.25,,,,,,,,,,34.66,,,,28.7,,,,,,32.95,,,,,,42.36,,,
14,14,Burkina Faso,8.83,,,,,,,,,,,,,,,,13.57,,,,,12.85,,,,,,,21.82,,23.52,22.47,28.29,,,,,,,34.6,,,,39.35,,,
