"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2013","2013",1.09048,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2014","2014",1.14333,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2015","2015",1.1486,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2016","2016",1.06583,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2017","2017",1.17657,"‡","UIS Estimation"
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2018","2018",1.21902,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2019","2019",1.25827,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2020","2020",1.21481,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","IND","India","2021","2021",1.21522,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","1999","1999",1.18213,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2000","2000",1.20771,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2001","2001",1.26106,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2002","2002",1.28999,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2003","2003",1.31808,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2004","2004",1.31646,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2005","2005",1.3413,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2006","2006",1.35086,,
"GGR_6T7_GPI","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)","GBR","United Kingdom of Great Britain and Northern Ireland","2007","2007",1.34993,,
